1
exp/gaea_Peru.json;1248
ARGS
exp/gaea_Peru.json
using the following metadata file:
exp/gaea_Peru.json
number of jobs submitted:
1248
numjob = 1229, jobid = 1229, nphotons = 100000, cosz = -0.85, simulation time = 26.860017466545106 minutes
numjob = 1186, jobid = 1186, nphotons = 100000, cosz = -0.7, simulation time = 26.984019148349763 minutes
numjob = 1185, jobid = 1185, nphotons = 100000, cosz = -0.55, simulation time = 27.00290488799413 minutes
numjob = 1223, jobid = 1223, nphotons = 100000, cosz = -0.85, simulation time = 27.00464851061503 minutes
numjob = 1204, jobid = 1204, nphotons = 100000, cosz = -0.7, simulation time = 27.004414621988932 minutes
numjob = 1192, jobid = 1192, nphotons = 100000, cosz = -0.7, simulation time = 27.054898774623872 minutes
numjob = 1178, jobid = 1178, nphotons = 100000, cosz = -0.4, simulation time = 27.08418117761612 minutes
numjob = 1211, jobid = 1211, nphotons = 100000, cosz = -0.85, simulation time = 27.2064617117246 minutes
numjob = 1217, jobid = 1217, nphotons = 100000, cosz = -0.85, simulation time = 27.208298428853354 minutes
numjob = 1171, jobid = 1171, nphotons = 100000, cosz = -0.25, simulation time = 27.226254161198934 minutes
numjob = 1205, jobid = 1205, nphotons = 100000, cosz = -0.85, simulation time = 27.25495015780131 minutes
numjob = 1187, jobid = 1187, nphotons = 100000, cosz = -0.85, simulation time = 27.28854160308838 minutes
numjob = 1199, jobid = 1199, nphotons = 100000, cosz = -0.85, simulation time = 27.306521360079447 minutes
numjob = 1158, jobid = 1158, nphotons = 100000, cosz = -0.1, simulation time = 27.32666610479355 minutes
numjob = 1179, jobid = 1179, nphotons = 100000, cosz = -0.55, simulation time = 27.37164959907532 minutes
numjob = 1193, jobid = 1193, nphotons = 100000, cosz = -0.85, simulation time = 27.388852564493813 minutes
numjob = 1181, jobid = 1181, nphotons = 100000, cosz = -0.85, simulation time = 27.588330050309498 minutes
numjob = 1180, jobid = 1180, nphotons = 100000, cosz = -0.7, simulation time = 27.673966884613037 minutes
numjob = 1172, jobid = 1172, nphotons = 100000, cosz = -0.4, simulation time = 27.731437452634175 minutes
numjob = 1169, jobid = 1169, nphotons = 100000, cosz = -0.85, simulation time = 27.788755822181702 minutes
numjob = 1173, jobid = 1173, nphotons = 100000, cosz = -0.55, simulation time = 27.807225437959037 minutes
numjob = 1163, jobid = 1163, nphotons = 100000, cosz = -0.85, simulation time = 27.818218739827476 minutes
numjob = 1175, jobid = 1175, nphotons = 100000, cosz = -0.85, simulation time = 27.830238155523936 minutes
numjob = 1157, jobid = 1157, nphotons = 100000, cosz = -0.85, simulation time = 27.896582067012787 minutes
numjob = 1165, jobid = 1165, nphotons = 100000, cosz = -0.25, simulation time = 27.915300850073496 minutes
numjob = 1167, jobid = 1167, nphotons = 100000, cosz = -0.55, simulation time = 28.004699238141377 minutes
numjob = 1162, jobid = 1162, nphotons = 100000, cosz = -0.7, simulation time = 28.008710996309915 minutes
numjob = 1161, jobid = 1161, nphotons = 100000, cosz = -0.55, simulation time = 28.059076484044393 minutes
numjob = 1168, jobid = 1168, nphotons = 100000, cosz = -0.7, simulation time = 28.068669287363686 minutes
numjob = 1174, jobid = 1174, nphotons = 100000, cosz = -0.7, simulation time = 28.077284717559813 minutes
numjob = 1166, jobid = 1166, nphotons = 100000, cosz = -0.4, simulation time = 28.18228977918625 minutes
numjob = 1155, jobid = 1155, nphotons = 100000, cosz = -0.55, simulation time = 28.272764960924786 minutes
numjob = 1156, jobid = 1156, nphotons = 100000, cosz = -0.7, simulation time = 28.341616241137185 minutes
numjob = 1159, jobid = 1159, nphotons = 100000, cosz = -0.25, simulation time = 28.412245496114096 minutes
numjob = 1154, jobid = 1154, nphotons = 100000, cosz = -0.4, simulation time = 28.544959259033202 minutes
numjob = 1160, jobid = 1160, nphotons = 100000, cosz = -0.4, simulation time = 28.557372212409973 minutes
numjob = 1153, jobid = 1153, nphotons = 100000, cosz = -0.25, simulation time = 29.05112363497416 minutes
numjob = 1152, jobid = 1152, nphotons = 100000, cosz = -0.1, simulation time = 29.105389511585237 minutes
numjob = 1091, jobid = 1091, nphotons = 2000000, cosz = -0.1, simulation time = 305.093990790844 minutes
numjob = 1089, jobid = 1089, nphotons = 2000000, cosz = -0.1, simulation time = 305.8305252710978 minutes
numjob = 1085, jobid = 1085, nphotons = 2000000, cosz = -0.1, simulation time = 307.87943614721297 minutes
numjob = 1083, jobid = 1083, nphotons = 2000000, cosz = -0.1, simulation time = 308.05303633610407 minutes
numjob = 1088, jobid = 1088, nphotons = 2000000, cosz = -0.1, simulation time = 309.76969172954557 minutes
numjob = 1084, jobid = 1084, nphotons = 2000000, cosz = -0.1, simulation time = 311.1661436359088 minutes
numjob = 1090, jobid = 1090, nphotons = 2000000, cosz = -0.1, simulation time = 311.4064886371295 minutes
numjob = 1087, jobid = 1087, nphotons = 2000000, cosz = -0.1, simulation time = 312.24272159338 minutes
numjob = 1081, jobid = 1081, nphotons = 2000000, cosz = -0.1, simulation time = 312.9614551663399 minutes
numjob = 1080, jobid = 1080, nphotons = 2000000, cosz = -0.1, simulation time = 315.0853536685308 minutes
numjob = 1082, jobid = 1082, nphotons = 2000000, cosz = -0.1, simulation time = 315.51148678859073 minutes
numjob = 1086, jobid = 1086, nphotons = 2000000, cosz = -0.1, simulation time = 316.09318441549937 minutes
numjob = 1018, jobid = 1018, nphotons = 2000000, cosz = -0.1, simulation time = 415.4178034742673 minutes
numjob = 1013, jobid = 1013, nphotons = 2000000, cosz = -0.1, simulation time = 415.9104870557785 minutes
numjob = 1017, jobid = 1017, nphotons = 2000000, cosz = -0.1, simulation time = 416.92529811461765 minutes
numjob = 1015, jobid = 1015, nphotons = 2000000, cosz = -0.1, simulation time = 417.2605259577433 minutes
numjob = 1011, jobid = 1011, nphotons = 2000000, cosz = -0.1, simulation time = 418.008446486791 minutes
numjob = 1014, jobid = 1014, nphotons = 2000000, cosz = -0.1, simulation time = 418.6134129722913 minutes
numjob = 1019, jobid = 1019, nphotons = 2000000, cosz = -0.1, simulation time = 419.08866304159164 minutes
numjob = 1009, jobid = 1009, nphotons = 2000000, cosz = -0.1, simulation time = 421.8604336857796 minutes
numjob = 1008, jobid = 1008, nphotons = 2000000, cosz = -0.1, simulation time = 422.11114042599996 minutes
numjob = 1016, jobid = 1016, nphotons = 2000000, cosz = -0.1, simulation time = 422.8243393222491 minutes
numjob = 1010, jobid = 1010, nphotons = 2000000, cosz = -0.1, simulation time = 423.3619116067886 minutes
numjob = 1012, jobid = 1012, nphotons = 2000000, cosz = -0.1, simulation time = 423.5211574753126 minutes
numjob = 945, jobid = 945, nphotons = 2000000, cosz = -0.1, simulation time = 476.68809349536895 minutes
numjob = 947, jobid = 947, nphotons = 2000000, cosz = -0.1, simulation time = 477.01386058330536 minutes
numjob = 941, jobid = 941, nphotons = 2000000, cosz = -0.1, simulation time = 477.54573472738264 minutes
numjob = 943, jobid = 943, nphotons = 2000000, cosz = -0.1, simulation time = 479.6235392491023 minutes
numjob = 940, jobid = 940, nphotons = 2000000, cosz = -0.1, simulation time = 480.31755489110947 minutes
