1
exp/gaea_Peru_recoverjobs.json;643
ARGS
exp/gaea_Peru_recoverjobs.json
using the following metadata file:
exp/gaea_Peru_recoverjobs.json
number of jobs submitted:
643
numjob = 191, jobid = 254, nphotons = 100, cosz = -0.55, simulation time = 0.9917636513710022 minutes
numjob = 390, jobid = 599, nphotons = 100, cosz = -0.25, simulation time = 0.9915833353996277 minutes
numjob = 412, jobid = 621, nphotons = 100, cosz = -0.55, simulation time = 0.9919320623079936 minutes
numjob = 530, jobid = 811, nphotons = 100, cosz = -0.25, simulation time = 0.9917761802673339 minutes
numjob = 338, jobid = 520, nphotons = 100, cosz = -0.25, simulation time = 0.9918177207310994 minutes
numjob = 51, jobid = 73, nphotons = 100, cosz = -0.1, simulation time = 0.9920039137204488 minutes
numjob = 230, jobid = 310, nphotons = 100, cosz = -0.25, simulation time = 0.9918086647987365 minutes
numjob = 289, jobid = 404, nphotons = 100, cosz = -0.55, simulation time = 0.9918512503306071 minutes
numjob = 307, jobid = 456, nphotons = 100, cosz = -0.4, simulation time = 0.9920386075973511 minutes
numjob = 284, jobid = 399, nphotons = 100, cosz = -0.55, simulation time = 0.9913498401641846 minutes
numjob = 458, jobid = 691, nphotons = 100, cosz = -0.55, simulation time = 0.9916499455769857 minutes
